8,a1,28 0 28 0 28 0 28 0 ,3,11559
8,a2,28 0 28 0 28 0 28 0 ,4,13459
8,a3,90 41 6 19 90 41 6 19 ,5,15286
8,a4,1 1 1 1 1 1 1 1 ,6,17648
8,a5,28 0 4 0 28 0 28 0 ,7,19756
8,a6,28 0 28 0 28 0 28 0 ,8,25431
8,a7,28 0 28 0 28 0 28 0 ,9,27776
8,a8,28 0 28 0 28 0 28 0 ,10,29847
8,a9,90 1 90 1 90 1 90 1 ,11,31969
8,aa,4 4 4 3f 83 41 c3 ff ,12,34107
8,ab,4 0 4 0 4 0 4 0 ,13,35666
8,ac,28 0 28 0 35 5 0 0 ,14,37581
8,ad,40 9c 28 0 28 0 28 0 ,15,48051
8,ae,4 0 4 0 4 0 4 0 ,16,50007
8,af,4 4 28 0 28 0 28 0 ,17,52081
8,b0,28 0 28 0 4 0 28 0 ,18,53981
8,c0,28 0 4 0 1 7 28 0 ,19,55721
8,c1,4 0 1 0 4 0 0 0 ,20,57497
8,c2,4 0 1 0 4 0 0 0 ,21,62376
8,118,4 0 28 1 90 0 0 0 ,22,64436
8,119,4 0 28 0 28 0 0 0 ,23,66393
8,202,4 0 4 0 0 0 0 0 ,24,68452
8,500,4 0 0 0 0 0 0 0 ,25,70111
8,542,4 80 20 80 20 c d0 0 ,26,72004
8,544,4 0 28 0 28 18 18 0 ,27,77533
8,644,4 1 90 28 0 1 0 0 ,28,79620
8,646,4 5 0 0 4 0 0 0 ,29,82888
8,648,4 d5 55 55 55 55 55 55 ,30,85051
8,6b0,0 28 0 28 8 0 4 ff ,31,87042
8,6b1,0 4 4 0 4 4 4 0 ,32,88977
8,6b2,4 0 28 0 28 0 4 4 ,33,94257
8,6b3,f a0 4 0 0 0 0 4 ,34,96421
8,6b5,0 4 0 4 0 0 0 0 ,35,98219
8,6b6,1 90 0 28 0 0 0 0 ,36,100333
8,6b8,0 28 0 28 9c 40 9c 40 ,37,102360
8,6b9,4 4 4 4 4 4 4 4 ,38,104710
8,6ba,9c 40 1 90 1 90 9c 40 ,39,109665
8,6bb,9c 40 0 28 0 4 0 4 ,40,111469
8,6bc,0 4 0 0 0 0 0 0 ,41,113737
8,750,4 0 28 0 28 0 0 0 ,42,115796
8,9806e5f4,0 28 0 28 80 0 0 0 ,43,117863
8,9806e7f4,0 28 0 28 80 0 0 0 ,44,120544
8,9806e9f4,0 28 0 28 80 0 0 0 ,45,124752
8,98ff50e5,0 0 0 0 0 0 0 0 ,46,126930
